Date,Consumption_kWh,Tariff_rate,Temperature
01-05-2024,14,7.58,26
02-05-2024,18,7.14,33
03-05-2024,7,5.61,28
04-05-2024,9,6.42,35
05-05-2024,17,7.02,30
06-05-2024,15,7.83,29
07-05-2024,13,7.24,32
08-05-2024,16,5.89,31
09-05-2024,8,6.79,27
10-05-2024,19,6.53,34
11-05-2024,10,6.28,25
12-05-2024,14,5.96,36
13-05-2024,11,6.75,33
14-05-2024,12,6.41,28
15-05-2024,16,5.93,30
16-05-2024,15,6.68,29
17-05-2024,14,6.37,32
18-05-2024,18,7.03,31
19-05-2024,9,5.54,27
20-05-2024,7,6.12,30
21-05-2024,15,5.88,34
22-05-2024,16,6.64,29
23-05-2024,13,5.47,31
24-05-2024,17,6.91,28
25-05-2024,8,5.61,25
26-05-2024,14,7.03,36
27-05-2024,11,6.12,33
28-05-2024,13,6.65,32
29-05-2024,18,7.45,35
30-05-2024,9,5.89,28
01-06-2024,16,6.37,29
02-06-2024,17,7.08,34
03-06-2024,10,5.56,30
04-06-2024,14,6.81,31
05-06-2024,8,6.02,26
06-06-2024,15,6.56,32
07-06-2024,16,5.98,30
08-06-2024,12,6.49,28
09-06-2024,9,5.75,29
10-06-2024,13,6.62,32
11-06-2024,10,6.03,33
12-06-2024,14,6.39,31
13-06-2024,15,6.56,30
14-06-2024,16,7.12,35
15-06-2024,13,5.89,32
16-06-2024,9,6.48,28
17-06-2024,11,6.73,29
18-06-2024,15,6.27,33
19-06-2024,14,6.91,34
20-06-2024,10,6.04,31
21-06-2024,12,6.52,30
22-06-2024,16,6.32,35
23-06-2024,8,5.97,32
24-06-2024,13,6.72,29
25-06-2024,14,7.21,33
26-06-2024,10,5.65,28
27-06-2024,16,7.09,34
28-06-2024,18,6.48,31
29-06-2024,9,6.24,32
30-06-2024,13,6.86,30
01-07-2024,15,6.19,33
02-07-2024,10,6.53,29
03-07-2024,17,7.03,28
04-07-2024,14,6.12,30
05-07-2024,11,6.41,34
06-07-2024,16,6.82,31
07-07-2024,9,5.76,32
08-07-2024,12,6.07,33
09-07-2024,13,6.51,30
10-07-2024,15,6.88,29
11-07-2024,14,5.93,28
12-07-2024,8,6.24,31
13-07-2024,10,6.76,32
14-07-2024,16,6.28,33
15-07-2024,9,6.02,30
16-07-2024,12,5.77,29
17-07-2024,13,6.38,32
18-07-2024,14,6.45,34
19-07-2024,16,7.02,31
20-07-2024,15,6.59,30
21-07-2024,17,7.34,33
22-07-2024,9,6.24,28
23-07-2024,14,6.93,30
24-07-2024,16,6.45,35
25-07-2024,10,6.57,29
26-07-2024,12,6.69,32
27-07-2024,13,6.14,31
28-07-2024,11,6.12,28
29-07-2024,15,7.01,30
30-07-2024,16,6.77,33
31-07-2024,9,6.53,34
01-08-2024,14,7.02,31
02-08-2024,16,6.91,30
03-08-2024,10,5.98,29
04-08-2024,9,6.11,28
05-08-2024,11,6.72,33
06-08-2024,15,6.35,32
07-08-2024,13,6.57,34
08-08-2024,10,6.02,30
09-08-2024,16,6.54,31
10-08-2024,12,6.88,29
11-08-2024,18,7.14,32
12-08-2024,14,6.78,30
13-08-2024,13,6.22,35
14-08-2024,9,6.47,33
15-08-2024,17,7.03,31
16-08-2024,12,6.24,32
17-08-2024,15,6.67,30
18-08-2024,9,5.81,28
19-08-2024,16,6.99,29
20-08-2024,11,6.51,34
21-08-2024,14,6.77,31
22-08-2024,13,6.29,33
23-08-2024,9,5.98,30
24-08-2024,15,6.69,32
25-08-2024,17,7.12,30
26-08-2024,14,6.45,31
27-08-2024,13,6.58,29
28-08-2024,11,6.93,34
29-08-2024,16,7.24,33
30-08-2024,9,5.56,32
31-08-2024,14,7.01,30
01-09-2024,12,6.89,29
02-09-2024,13,6.44,31
03-09-2024,9,5.76,30
04-09-2024,16,6.91,29
05-09-2024,14,6.72,32
06-09-2024,12,6.58,30
07-09-2024,15,6.61,33
08-09-2024,11,6.41,28
09-09-2024,16,6.74,31
10-09-2024,10,5.92,29
11-09-2024,14,6.86,34
12-09-2024,13,6.54,33
13-09-2024,15,6.11,31
14-09-2024,11,5.88,30
15-09-2024,12,6.65,32
16-09-2024,9,6.74,33
17-09-2024,13,6.42,30
18-09-2024,15,6.58,28
19-09-2024,16,7.01,29
20-09-2024,10,6.77,30
21-09-2024,11,6.89,32
22-09-2024,17,6.43,30
23-09-2024,13,6.29,29
24-09-2024,9,5.72,31
25-09-2024,14,6.56,33
26-09-2024,15,7.02,32
27-09-2024,10,5.93,31
28-09-2024,13,6.47,29
29-09-2024,14,6.58,30
30-09-2024,12,6.44,33
01-10-2024,13,6.78,32
02-10-2024,9,5.99,30
03-10-2024,14,7.02,31
04-10-2024,10,5.84,32
05-10-2024,12,6.61,29
06-10-2024,16,7.01,30
07-10-2024,17,6.98,33
08-10-2024,14,6.89,34
09-10-2024,9,5.77,31
10-10-2024,15,6.34,32
11-10-2024,11,6.73,30
12-10-2024,14,6.47,33
13-10-2024,16,6.61,31
14-10-2024,10,5.90,30
15-10-2024,12,6.28,34
16-10-2024,13,6.72,29
17-10-2024,14,6.84,32
18-10-2024,9,6.21,30
19-10-2024,16,6.57,31
20-10-2024,12,6.45,30
21-10-2024,13,6.39,32
22-10-2024,10,5.99,29
23-10-2024,16,7.02,34
24-10-2024,14,6.88,33
25-10-2024,9,5.92,31
26-10-2024,13,6.49,32
27-10-2024,15,6.74,30
28-10-2024,16,6.92,33
29-10-2024,10,6.42,31
30-10-2024,17,7.03,30
31-10-2024,9,5.83,29
01-11-2024,14,6.68,32
02-11-2024,13,6.47,31
03-11-2024,9,5.75,30
04-11-2024,12,6.39,33
05-11-2024,16,7.12,31
06-11-2024,10,5.99,30
07-11-2024,13,6.56,32
08-11-2024,14,6.81,29
09-11-2024,11,6.02,34
10-11-2024,9,6.43,31
11-11-2024,15,6.72,32
12-11-2024,14,6.61,30
13-11-2024,16,7.03,33
14-11-2024,13,6.58,29
15-11-2024,12,6.46,30
16-11-2024,9,5.98,31
17-11-2024,16,6.81,32
18-11-2024,13,6.44,33
19-11-2024,14,6.57,30
20-11-2024,10,6.61,31
21-11-2024,17,7.02,29
22-11-2024,14,6.94,32
23-11-2024,12,6.85,33
24-11-2024,13,6.39,30
25-11-2024,9,5.74,29
26-11-2024,15,6.77,30
27-11-2024,10,6.56,32
28-11-2024,14,7.02,31
29-11-2024,12,6.69,30
30-11-2024,16,7.04,32
